id,date,student_number,discount_given
156,2025-05-03 00:00:00.000,15459,7700
155,2025-05-03 00:00:00.000,15459,7700
154,2025-05-03 00:00:00.000,14879,15950
153,2025-04-30 00:00:00.000,16078,10450
152,2025-04-30 00:00:00.000,16077,9900
151,2025-04-30 00:00:00.000,14953,3000
150,2025-04-30 00:00:00.000,15584,3000
149,2025-04-30 00:00:00.000,15520,3000
148,2025-04-30 00:00:00.000,13863,4000
147,2025-04-30 00:00:00.000,14863,3500
146,2025-04-30 00:00:00.000,14944,5000
145,2025-04-30 00:00:00.000,15613,3000
144,2025-04-30 00:00:00.000,15850,3000
143,2025-04-30 00:00:00.000,16414,3000
142,2025-04-30 00:00:00.000,16076,4000
141,2025-04-30 00:00:00.000,15669,5000
140,2025-04-30 00:00:00.000,14243,20900
139,2025-04-30 00:00:00.000,14630,19800
138,2025-04-30 00:00:00.000,16193,7425
137,2025-04-30 00:00:00.000,14543,4000
136,2025-04-30 00:00:00.000,14958,7975
135,2025-04-30 00:00:00.000,14669,7975
134,2025-04-30 00:00:00.000,14546,9900
133,2025-04-30 00:00:00.000,15621,20900
132,2025-04-30 00:00:00.000,16762,14300
131,2025-04-30 00:00:00.000,16263,7425
130,2025-04-30 00:00:00.000,15400,7975
129,2025-04-30 00:00:00.000,16179,5000
128,2025-04-30 00:00:00.000,17050,4000
127,2025-04-30 00:00:00.000,15185,4000
126,2025-04-30 00:00:00.000,15554,5000
125,2025-04-30 00:00:00.000,15370,4000
124,2025-04-30 00:00:00.000,14907,15950
123,2025-04-30 00:00:00.000,14867,15950
122,2025-04-30 00:00:00.000,14517,9900
121,2025-04-30 00:00:00.000,16654,6050
120,2025-04-05 00:00:00.000,16317,7425
119,2025-04-05 00:00:00.000,15631,7700
118,2025-04-05 00:00:00.000,14099,10450
117,2025-04-05 00:00:00.000,16969,6050
116,2025-04-05 00:00:00.000,15625,7425
115,2025-04-05 00:00:00.000,15746,7425
114,2025-04-05 00:00:00.000,15746,7425
113,2025-04-05 00:00:00.000,14488,10450
112,2025-04-05 00:00:00.000,16782,4000
111,2025-04-05 00:00:00.000,16783,4000
110,2025-04-05 00:00:00.000,15158,7975
109,2025-04-05 00:00:00.000,17125,7150
108,2025-04-05 00:00:00.000,17126,6050
107,2025-04-05 00:00:00.000,13834,20900
106,2025-03-22 00:00:00.000,15301,7975
105,2025-03-22 00:00:00.000,15923,7425
104,2025-03-22 00:00:00.000,17052,7150
103,2025-03-21 00:00:00.000,15780,3000
102,2025-03-20 00:00:00.000,16984,12100
101,2025-03-20 00:00:00.000,15479,15400
100,2025-03-19 00:00:00.000,15880,7700
99,2025-03-19 00:00:00.000,16026,3000
98,2025-03-19 00:00:00.000,14224,10450
97,2025-03-19 00:00:00.000,15945,15400
96,2025-03-19 00:00:00.000,15945,0
95,2025-03-19 00:00:00.000,16637,6050
94,2025-03-19 00:00:00.000,15231,3000
93,2025-03-19 00:00:00.000,16024,3000
92,2025-03-19 00:00:00.000,16200,7150
91,2025-03-19 00:00:00.000,15511,7700
90,2025-03-19 00:00:00.000,15788,5000
89,2025-03-19 00:00:00.000,16143,7425
88,2025-03-08 00:00:00.000,14108,3000
87,2025-03-08 00:00:00.000,15648,5000
86,2025-03-08 00:00:00.000,16374,5000
85,2025-03-08 00:00:00.000,14228,8000
84,2025-03-08 00:00:00.000,13845,6000
83,2025-03-08 00:00:00.000,17020,7150
82,2025-03-08 00:00:00.000,15939,10450
81,2025-03-08 00:00:00.000,15869,7700
80,2025-03-08 00:00:00.000,14868,3000
79,2025-03-08 00:00:00.000,16347,7150
78,2025-03-08 00:00:00.000,16917,6050
77,2025-03-08 00:00:00.000,15775,2500
76,2025-03-08 00:00:00.000,14931,2500
75,2025-03-08 00:00:00.000,14000,10450
74,2025-03-04 00:00:00.000,14606,500
73,2025-03-03 00:00:00.000,14850,3000
72,2025-02-21 00:00:00.000,14254,4000
71,2025-02-21 00:00:00.000,15261,7700
70,2025-02-21 00:00:00.000,15612,4000
69,2025-02-21 00:00:00.000,15526,7700
68,2025-02-21 00:00:00.000,16163,2500
67,2025-02-20 00:00:00.000,15325,5000
66,2025-02-20 00:00:00.000,14932,7975
65,2025-02-20 00:00:00.000,16564,7700
64,2025-02-20 00:00:00.000,15602,7700
63,2025-02-19 00:00:00.000,16975,14850
62,2025-02-19 00:00:00.000,15980,7425
61,2025-02-19 00:00:00.000,16600,14300
60,2025-02-09 00:00:00.000,16184,7425
59,2025-02-09 00:00:00.000,15546,2500
58,2025-02-09 00:00:00.000,15274,2500
57,2025-02-09 00:00:00.000,16405,14300
56,2025-02-09 00:00:00.000,17070,7975
55,2025-02-09 00:00:00.000,17069,7700
54,2025-02-04 00:00:00.000,14406,20900
53,2025-02-04 00:00:00.000,13917,20900
52,2025-02-04 00:00:00.000,16183,20900
51,2024-12-24 00:00:00.000,15402,500
50,2024-12-23 00:00:00.000,15402,20400
49,2024-10-29 00:00:00.000,14747,19800
48,2024-10-18 00:00:00.000,15744,14850
47,2024-09-28 00:00:00.000,14321,20900
46,2024-09-14 00:00:00.000,16228,20900
45,2024-08-19 00:00:00.000,14615,19800
44,2024-08-19 00:00:00.000,15347,15400
43,2024-08-13 00:00:00.000,14881,500
42,2024-08-02 00:00:00.000,14606,20900
41,2024-08-01 00:00:00.000,15748,500
40,2024-07-31 00:00:00.000,16324,500
39,2024-07-30 00:00:00.000,16192,500
38,2024-07-29 00:00:00.000,15711,500
37,2024-07-29 00:00:00.000,17060,500
36,2024-07-29 00:00:00.000,16500,500
35,2024-07-29 00:00:00.000,16441,500
34,2024-07-29 00:00:00.000,17091,500
33,2024-07-29 00:00:00.000,16340,500
32,2024-07-29 00:00:00.000,16393,500
31,2024-07-29 00:00:00.000,16393,400
30,2024-07-29 00:00:00.000,16587,500
29,2024-07-27 00:00:00.000,15402,500
28,2024-07-27 00:00:00.000,14606,500
27,2024-07-27 00:00:00.000,15275,500
26,2024-07-27 00:00:00.000,16132,500
25,2024-07-27 00:00:00.000,14502,500
24,2024-07-27 00:00:00.000,15277,500
23,2024-07-27 00:00:00.000,15019,500
22,2024-07-27 00:00:00.000,14861,500
21,2024-07-27 00:00:00.000,14497,500
20,2024-07-27 00:00:00.000,17014,500
19,2024-07-27 00:00:00.000,15278,500
18,2024-07-27 00:00:00.000,16416,500
17,2024-07-27 00:00:00.000,16499,500
16,2024-07-27 00:00:00.000,15261,500
15,2024-07-27 00:00:00.000,16765,500
14,2024-07-27 00:00:00.000,15526,500
13,2024-07-27 00:00:00.000,15532,500
12,2024-07-27 00:00:00.000,15213,500
11,2024-07-27 00:00:00.000,16967,500
10,2024-07-27 00:00:00.000,16779,500
9,2024-07-27 00:00:00.000,16985,500
8,2024-07-27 00:00:00.000,16970,500
7,2024-07-27 00:00:00.000,16921,500
6,2024-07-27 00:00:00.000,15363,500
5,2024-07-27 00:00:00.000,15018,500
4,2024-07-27 00:00:00.000,16165,500
3,2024-07-27 00:00:00.000,16105,500
2,2024-07-27 00:00:00.000,16070,500
1,2024-07-27 00:00:00.000,15660,500
